Volcano_Name,Country,Latitude,Longitude,Volcano_Type,Last_Eruption
Kirishimayama,Japan,31.934,130.862,Shield volcano,1900
Adatarayama,Japan,37.647,140.281,Stratovolcano,1900
Tullu Moye,Ethiopia,8.159,39.137,Pumice cone,1900
Kelud,Indonesia,-7.935,112.314,Stratovolcano,1901
Epi,Vanuatu,-16.68,168.37,Stratovolcano,1901
Pelee,Martinique,14.809,-61.166,Stratovolcano,1902
Soufriere St. Vincent,St. Vincent & the Grenadines,13.33,-61.18,Stratovolcano,1902
Pelee,Martinique,14.809,-61.166,Stratovolcano,1902
Pelee,Martinique,14.809,-61.166,Stratovolcano,1902
Pelee,Martinique,14.809,-61.166,Stratovolcano,1902
Pelee,Martinique,14.809,-61.166,Stratovolcano,1902
Izu-Torishima,Japan,30.484,140.303,Stratovolcano,1902
Pelee,Martinique,14.809,-61.166,Stratovolcano,1902
Santa Maria,Guatemala,14.757,-91.552,Stratovolcano,1902
Merapi,Indonesia,-7.54,110.446,Stratovolcano,1902
Okataina,New Zealand,-38.12,176.5,Lava dome,1903
Karthala,Comoros,-11.75,43.38,Shield volcano,1903
Karthala,Comoros,-11.75,43.38,Shield volcano,1904
Vesuvius,Italy,40.821,14.426,Complex volcano,1905
Savai'i,Samoa,-13.612,-172.525,Shield volcano,1905
Vesuvius,Italy,40.821,14.426,Complex volcano,1906
Savai'i,Samoa,-13.612,-172.525,Shield volcano,1906
Savai'i,Samoa,-13.612,-172.525,Shield volcano,1907
Savai'i,Samoa,-13.612,-172.525,Shield volcano,1907
Savai'i,Samoa,-13.612,-172.525,Shield volcano,1907
Savai'i,Samoa,-13.612,-172.525,Shield volcano,1907
Savai'i,Samoa,-13.612,-172.525,Shield volcano,1907
Unnamed,Tonga,-21.338,-175.65,Submarine volcano,1907
Alayta,Ethiopia,12.888,40.573,Shield volcano,1907
Lewotobi,Indonesia,-8.542,122.775,Stratovolcano,1907
Savai'i,Samoa,-13.612,-172.525,Shield volcano,1907
Cameroon,Cameroon,4.203,9.17,Stratovolcano,1909
Semeru,Indonesia,-8.108,112.922,Stratovolcano,1909
Taupo,New Zealand,-38.82,176,Caldera,1910
Toya,Japan,42.544,140.839,Stratovolcano,1910
